Family,TaxonName,Genus,Species,InfraName1,InfraName2,InfraName3,Cultivar,TradeName,CommonNameAll,Distribution,LifeForm,QRCodeURL,NameID
Campanulaceae,Campanula rotundifolia,Campanula,rotundifolia,,,,,,Harebell,Circumboreal,Herbaceous perennial,taxon-2342.aspx?qr=0,2342
Campanulaceae,Campanula takesimana,Campanula,takesimana,,,,,,Korean Bellflower,Korea,Herbaceous perennial,taxon-2357.aspx?qr=0,2357
Orchidaceae,Campanulorchis globifera,Campanulorchis,globifera,,,,,,Campanulorchis Orchid,Vietnam,Epiphyte,taxon-149483.aspx?qr=0,149483
Bignoniaceae,Campsis radicans,Campsis,radicans,,,,,,Trumpet Creeper,Eastern North America,Vine/liana,taxon-2369.aspx?qr=0,2369
Fabaceae,Camptosema spectabile,Camptosema,spectabile,,,,,,Dwarf Red Jade Vine,Brazil,Vine/liana,taxon-17096.aspx?qr=0,17096
Polypodiaceae,Campyloneurum angustifolium,Campyloneurum,angustifolium,,,,,,Narrow-Leaved Strap Fern,New World Tropics,Herbaceous perennial,taxon-13897.aspx?qr=0,13897
Polypodiaceae,Campyloneurum crassifolium,Campyloneurum,crassifolium,,,,,,"Campyloneurum, graceful fern","Tropical, Subtropical America",Fern or Fern ally,taxon-150964.aspx?qr=0,150995
Annonaceae,Cananga odorata,Cananga,odorata,,,,,,"Ylang-Ylang, Cananga","Pacific Islands, NE Australia",Tree,taxon-2371.aspx?qr=0,2371
Cannaceae,Canna 'Stuttgart',Canna,,,,,'Stuttgart',,"Stuttgart Canna, Canna",Horticultural Origin,Herbaceous perennial,taxon-14037.aspx?qr=0,14037
Cannaceae,Canna × generalis 'Phasion' Tropicanna,Canna,× generalis,,,,'Phasion',Tropicanna,"Tropicanna Canna Lily, Canna",Interspecies Hybrid,Herbaceous perennial,taxon-15244.aspx?qr=0,15244
Cannaceae,Canna indica,Canna,indica,,,,,,"Edible Canna, Indian Shot",New World Tropics,Herbaceous perennial,taxon-2375.aspx?qr=0,2375
Cannaceae,Canna iridiflora,Canna,iridiflora,,,,,,"Peruvian Canna, Iris Canna, Canna",Peru,Herbaceous perennial,taxon-14078.aspx?qr=0,14078
Papaveraceae,Capnoides sempervirens,Capnoides,sempervirens,,,,,,"Rock Harlequin, Pink Corydalis, Tall Corydalis",North America,Herb Biennial/short-lived plant,taxon-16946.aspx?qr=0,16946
Solanaceae,Capsicum annuum var. annuum,Capsicum,annuum,annuum,,,,,Ornamental Pepper,Central and South America,Herbaceous perennial,taxon-2385.aspx?qr=0,2385
Asteraceae,Caputia medley-woodii,Caputia,medley-woodii,,,,,,Caputia,NE South Africa,Cactus/succulent,taxon-149919.aspx?qr=0,149923
Asteraceae,Caputia tomentosa,Caputia,tomentosa,,,,,,"Caputia, Cocoon Plant, Woolly Senecio, Senecio",South Africa (Cape Province),Cactus/succulent,taxon-150699.aspx?qr=0,150705
Fabaceae,Caragana × sophorifolia,Caragana,× sophorifolia,,,,,,Hybrid Peashrub,Interspecies Hybrid,Shrub/sub-shrub,taxon-2395.aspx?qr=0,2395
Liliaceae,Cardiocrinum cordatum,Cardiocrinum,cordatum,,,,,,"Heartleaf lily, Uba-Yuri",Japan,"Geophyte (bulb, corm or tuber)",taxon-2407.aspx?qr=0,2407
Cyperaceae,Carex bicknellii,Carex,bicknellii,,,,,,Bicknell's Sedge,Eastern North America,Herbaceous perennial,taxon-150528.aspx?qr=0,150534
Cyperaceae,Carex crinita,Carex,crinita,,,,,,Pendulous Sedge,"NE North America, Georgia, Texas",Herbaceous perennial,taxon-15011.aspx?qr=0,15011
Cyperaceae,Carex eburnea,Carex,eburnea,,,,,,Bristle-leaved Sedge,North America,Grass-like,taxon-149637.aspx?qr=0,149637
Cyperaceae,Carex flagellifera 'Toffee Twist',Carex,flagellifera,,,,'Toffee Twist',,Toffee Twist Sedge,New Zealand,Herbaceous perennial,taxon-15301.aspx?qr=0,15301
Cyperaceae,Carex fraseri,Carex,fraseri,,,,,,Fraser's Sedge,Southeastern U.S.,Herbaceous perennial,taxon-13162.aspx?qr=0,13162
Cyperaceae,Carex oshimensis 'Evergold',Carex,oshimensis,,,,'Evergold',,Evergold Sedge,Hort. Selection (Japan Honshu Is.),Herbaceous perennial,taxon-17390.aspx?qr=0,17390
Cyperaceae,Carex pensylvanica,Carex,pensylvanica,,,,,,Pennsylvania Sedge,North America,Herbaceous perennial,taxon-17709.aspx?qr=0,17709
Cyperaceae,Carex plantaginea,Carex,plantaginea,,,,,,Woodrush,North America,Herbaceous perennial,taxon-13160.aspx?qr=0,13160
Cyperaceae,Carex platyphylla,Carex,platyphylla,,,,,,"Broad-Leaf Sedge, Thicket Sedge",North America,Herbaceous perennial,taxon-14335.aspx?qr=0,14335
Cyperaceae,Carex scaposa,Carex,scaposa,,,,,,Carex,"S China, Vietnam",Grass-like,taxon-150911.aspx?qr=0,150934
Cyperaceae,Carex stricta,Carex,stricta,,,,,,Tussock Sedge,Eastern North America,Herbaceous perennial,taxon-16657.aspx?qr=0,16657
Caricaceae,Carica papaya,Carica,papaya,,,,,,"Papaya, Pawpaw, Papita",S Mexico to Venezuela,Tree,taxon-2417.aspx?qr=0,2417
Apocynaceae,Carissa macrocarpa 'Nana',Carissa,macrocarpa,,,,'Nana',,"Carissa, Nana Natal Plum, Carissa",Kenya to South Africa (SE Cape Province),Shrub/sub-shrub,taxon-150548.aspx?qr=0,150554
Cyclanthaceae,Carludovica palmata,Carludovica,palmata,,,,,,Panama-hat Plant,Central America to Bolivia,Herbaceous perennial,taxon-2424.aspx?qr=0,2424
Cactaceae,Carnegiea gigantea,Carnegiea,gigantea,,,,,,Saguaro,"Ariz., Calif., Mexico",Cactus/succulent,taxon-2426.aspx?qr=0,2426
Betulaceae,Carpinus betulus,Carpinus,betulus,,,,,,Common Hornbeam,"Europe, Turkey",Tree,taxon-2429.aspx?qr=0,2429
Betulaceae,Carpinus betulus 'JFS-KW1CB' Emerald Avenue ®,Carpinus,betulus,,,,'JFS-KW1CB',Emerald Avenue ®,Emerald Avenue® Hornbeam,"Hort. Selection (Europe, W Turkey)",Tree,taxon-16321.aspx?qr=0,16321
Betulaceae,Carpinus betulus 'Gerry Chaster',Carpinus,betulus,,,,'Gerry Chaster',,Gerry Chaster Hornbeam,"Hort. Selection (Europe, Turkey)",Tree,taxon-16355.aspx?qr=0,16355
Betulaceae,Carpinus caroliniana,Carpinus,caroliniana,,,,,,American Hornbeam,Eastern North America,Tree,taxon-2431.aspx?qr=0,2431
Betulaceae,Carpinus tschonoskii,Carpinus,tschonoskii,,,,,,"Yeddo Hornbeam, Chinese Hornbeam, Inu-Shide","China, Korea, Japan",Tree,taxon-2437.aspx?qr=0,2437
Juglandaceae,Carya glabra,Carya,glabra,,,,,,Pignut Hickory,Northeastern North America,Tree,taxon-150865.aspx?qr=0,150888
Juglandaceae,Carya ovata,Carya,ovata,,,,,,Shagbark Hickory,Eastern North America,Tree,taxon-2447.aspx?qr=0,2447
Apocynaceae,Cascabela thevetioides,Cascabela,thevetioides,,,,,,"Cascabela, yellow oleander",Mexico,Tree,taxon-150656.aspx?qr=0,150662
Fabaceae,Cassia abbreviata subsp. beareana,Cassia,abbreviata,beareana,,,,,Sjambok pod,Africa,Shrub/sub-shrub,taxon-2457.aspx?qr=0,2457
Fagaceae,Castanea 'Colossal',Castanea,,,,,'Colossal',,Colossal Hybrid Chestnut,Interspecies Hybrid,Tree,taxon-15648.aspx?qr=0,15648
Bignoniaceae,Catalpa ovata,Catalpa,ovata,,,,,,Chinese catalpa,China,Tree,taxon-2485.aspx?qr=0,2485
Orchidaceae,Catasetum expansum × Clowesia russellianum,Catasetum,expansum × Clowesia russellianum,,,,,,"Catasetum Hybrid Orchid, Hybrid Expansive Orchid",Intergeneric Hybrid,Epiphyte,taxon-13352.aspx?qr=0,13352
Apocynaceae,Catharanthus roseus 'Ocellatus',Catharanthus,roseus,,,,'Ocellatus',,"Madagascar Periwinkle, Old Maid, Catharanthus",Madagascar,Herbaceous perennial,taxon-2490.aspx?qr=0,2490
Lamiaceae,Catoferia chiapensis,Catoferia,chiapensis,,,,,,Catopheria,Mexico,Herbaceous perennial,taxon-2492.aspx?qr=0,2492
